Instance,VBS_Prediction
71,0.798932502349
129,0.7387159080505995
22,0.6917745641777988
183,0.8555901093759997
429,0.7932772347291501
64,0.7982133223784496
481,0.7981682339851006
241,0.78975826366015
281,0.8004718142902001
84,0.7929609786801002
161,0.8046778963393005
103,0.79819925855095
209,0.7864239763193498
206,0.7863248400016001
244,0.8122012777120002
336,0.8019047064426499
331,0.7959407317066998
0,0.8080211322478502
261,0.7931454755532503
504,0.7993282462973003
407,0.7822458506901997
440,0.79971422534575
230,0.7971094187188501
430,0.7970760350810001
A,0.8078200891227004
357,0.7895822183814998
202,0.8086830905671001
345,0.79845989304305
232,0.7947796561926
127,0.7926347696937998
20,0.8020283317853004
387,0.79813243515805
67,0.8065227993712004
502,0.7907790272225003
94,0.7958799350710996
74,0.7880223858895498
23,0.794596930283
156,0.8055233311456999
394,0.7989408386937501
121,0.8072136667294996
242,0.8016306714862499
80,0.7959670957452001
11,0.7912480330205001
59,0.79018275585475
179,0.7936208993692502
427,0.8032567185407998
340,0.7867083652041498
137,0.7938797782471498
366,0.8008396287045998
322,0.8035059041781998
81,0.8058007006352501
237,0.7845624449229005
69,0.7936512798117501
239,0.7975234387282503
497,0.7946850729735502
